"GLID","complete_reflection"
"22287370600","We talked about the upcoming election. We simply shared our views on what we thought was going to happen and what kinds of effects each candidate would have on the country. I stated that I think Trump would have a positive impact on the economy, while with Harris in office, it might be rather stagnant. Also, I think that Trump will have a stricter immigration policy, while Harris probably won't make much of an effort to close the border."
"22633910164","My opinion is that there should be stricter gun control. I don't think it should be possible for an 18 year old to walk into a gun shop and walk out with an AK-47 with no training, supervision, or vetting. The process to get a drivers license requires weeks of training, a knowledge exam AND a road test in order to ensure safety of those on the road. Why isn't there any precautions or requirements for someone buying a lethal weapon."
"22142641696","They only spoke in click bait jargon, using all the buzz words. They did not want to hear anything different they their own beliefs and could not understand any other side. "
"22095228162","We spoke about the abortion issue. I think that supporting a woman’s right to choose is about trusting individuals to make the best decisions for their own bodies and lives. Roe v. Wade protected that right by giving women the freedom to decide if and when to have a child, especially in tough situations like health risks or unwanted pregnancies. It ensured that these decisions could be made safely, with access to proper medical care, instead of pushing women into dangerous, illegal procedures. Everyone's circumstances are different, and Roe v. Wade respected that by letting women make personal choices without government interference."
"22591418090","My political views are still the same, as none of us really wanted to turn the conversation into something too serious. It was mainly just for amusement."
"22112259011","My opinion hasn't changed. Taxes should target the billionaires and not the middle class."
"22187319598","My opinion on gun control is that there should be safeguards put into place while also not limiting someones right to own a firearm. While there have been horrible things done by bad people using guns, I don't think that should mean that everyone should lose access to something that they use for a hobby, collect, or simply want to own for their safety. Mental health is usually the real issue when it comes to mass shootings or killings with guns, so I think that background checks and/or mental health checks should be mandatory when purchasing a gun. Maybe not every single time, but there should be more than there is now. People don't deserve to lose their rights because of bad mentally unwell people. "
"22058345451","My opinion now has strengthened my initial belief that everyone has the responsibility to vote."
"22960302155","Unchanged, because I didn't get to have a meaningful conversation. I was just yelled at and treated like the enemy."
"157213687","Reflecting on the recent conversation about politics, I find that my opinion has become more nuanced. While I still hold my core beliefs, the discussion helped me understand that the other side often comes from a place of genuine concern, even if the values or priorities differ from mine. It’s clear that the polarization we face isn’t solely due to individuals but is also influenced by media and political rhetoric. I now feel that addressing these divisions requires more open dialogue and less reliance on generalizations about the “other side.” Understanding each other’s concerns might be the first step in bridging the gap."
"22446825012","My opinion is unchanged. I didn't think it was worth alerting the person to my differing opinion and risking them getting riled up, and I was bored of hearing the same basic opinion of a person clearly influenced by watching left-leaning news every day."
"22142624065","I still believe that Muslims are not extremists within their religion and that they don't all believe in a Holy War against all other religions.  I do understand that there are extremists within the religion, but every religion has extremists.  The religion may be more predisposed to it through its views and teachings, but those teachings seem to be misunderstood by those extremists."
"27832616326","My opinion has not changed because I do not care about the issue."
"406239827","I am sticked with my old statement that Trump will be the new president. Because of the public mentality, Trump will be ahead of Harris."
"22129717453","Very respectful however neither of our views changed. We were both set in our ways."
"25122772452","I still am extremley pro-choice. I believe if a woman does not want to get one then that is okay, but if a woman does want to- I believe she has a right to the choice. My conversation changed nothing. "
"22426061492","I still have the same opinion. The other side was not able to persuade me to dislike Trump. I understand both candidates have their wrongs, that's part of the natural man. However, I think that Trump is more fit to be in office."
"22314889101","I believe I still have the same view on abortion. I have this belief and technically someone can't argue with what you as a person believes in. On the political and legal side I somewhat understand the opposing sides view. "
"22210129367","After some reflection, I still retain my initial opinion of the issue. However, the conversation helped me understand why someone would support the other side of the argument. As a result, I was able to hold a more informed opinion that is based more on facts rather than bias."
"22241482605","i don't feel comfortable sharing my opinion"
"22389086610","Kamala dumb dumb!"
"22779498622","My opinion of the issue has not changed since I have not been presented with any information that would change it. "
"29729788140","This is more of a moral and religious issue for me, so I will always stand on pro-life. Yes, there are circumstances where abortion can be justified, but a life is still a life. "
"876261919","i believe donald trump should be president"
"25330009695","
Reflecting on my previous conversation about Donald Trump’s presidency, I still believe that understanding multiple perspectives is crucial for healthy political discourse. While I disagree with the notion that Trump was the greatest president since Lincoln, I do see why some people feel strongly about his policies on jobs, immigration, and his outsider status in Washington. However, I remain concerned about the divisiveness of his rhetoric and the long-term impact of his policies on marginalized communities and democratic norms. My opinion hasn't changed much."
"22406636212","I think is just the different opinions about both candidates"
"22457717837"," I still believe that stronger border enforcement is important for maintaining security and order, but I’ve also grown to understand the humanitarian considerations my friend emphasized. The idea that people fleeing violence or economic hardship deserve compassion and a chance at a better life resonates with me more now. I think a balanced approach is necessary—one that ensures legal processes are efficient and fair while maintaining the security of the country. The conversation highlighted that neither side has all the answers, and the best solutions likely lie in compromise and thoughtful reform."
"22618398083","The immigration issue, most of my views stay the same, but I do understand where anti immigration comes from. "
"151313816","My opinion of immigration is it should be more supported as there should be an easier process to be allowed to legally immigrate to the country as the long and lengthy legal process is what causes a majority of people to go into the illegal route"
"22043600672","Unsure of which issue"
"22919128222","I did not speak with someone whose views were completely different than mine. Our views are more similar than different. We agree on a lot of different topics and they were more informed than me on many topics, and I read different articles they sent me to learn more about that topic. "
"25289616758","We discussed the US economy and how it has been destroyed over the past few years. My opinion about it didn't really change but the opinion of the person I talked to did change some. "
"28109646793","It was just something they said during the campaign."
"22048765934","I talked about inflation and the economy. trump is not even successful in his own businesses and I provided facts but the person who I was talking to started bringing in religion and info from facebook! I do not enjoy talking to incompetent people. My opinion is the same. "
"22973731918","I think my opinions still stay the same, I believe she has some truth to her statements and I respect her opinions."
"22508248130","Women's Rights 
I feel as if a woman should have the right to choose what to do with her body"
"22247938747","After reflecting on the conversation, I still support expanding universal healthcare, but I now have a deeper understanding of the concerns surrounding government inefficiency and taxation. While I believe that healthcare should be accessible to everyone, regardless of their financial situation, I can see why people like Tom are wary of increased government control and the potential economic impact. His point about keeping costs down and ensuring efficiency made me think more critically about how such a system could be designed. While I haven’t changed my stance, I’m more aware of the complexities involved and recognize that finding a middle ground—such as balancing public and private healthcare options—could be a more realistic and effective approach."
"22311668148","The exact same as before, but at least I have a better understanding of the opposing view. That said, I do feel the other view was even less substantiated than I thought; so while conversation does help, I feel in a certain way I respect their opinion a little bit less after talking. "
"126082027","I discussed climate change with a friend. They were concerned about the impacts certain policies could have on the economy, such as costs and job losses. I agreed with these concerned. I argued that I believe the environment was top priority because the economy wouldn't matter if there wasn't a habitable place for people to live and use the economy. However, I also understood the importance of protecting or helping those with jobs and trying to keep costs low if possible. I said I believe both sides had valid arguments and should work together instead of against each other."
"22066676445","I can see how many aren't really persuaded by new information. Once opinions are made of candidates, most people will stand by them regardless of new information. It is important to be understanding but open to change and open minded to prevent falling into those pitfalls. "
"22378501726","my body is my body as a women what i chose to do with it is nobody choice"
"22295874297","I honestly can’t understand why people are opposed to the environmental movement or fighting climate change and stuff like that. The only argument I’m aware of against it is that it’s a hoax/lie, but simply going outside or reading the news will tell you that it’s a real thing!!! So crazy to me"
"500257932","I think that I am still very pro-life and will vote for Trump. My ideas are based on facts, while hers are based more on emotion. She believes that it is the women's choice of what to do with her body, but I told her that the women is choosing what to do with another body, not her own. Conception is when life is formed and if you get an abortion at any stage, you are killing a living being. "
"22110663780","I'm more open to listening and understanding the other side"
"28751677725","My opinion has remained the same. Most of the time when arguing politics with people, they're very uninformed (as we all should be honestly, the median American doesn't have time to think about politics). People strongly believe what they want, and aren't gonna change their mind unless they already intend on doing so or are more open minded. I still think immigration as a concept is not inherintly a bad thing, and is demonized by firs the conservative party, but then by Joe Biden in 2020 calling it a problem, when historically democrats viewed it as a benefit to the country."
"390929751","Everything went well."
"22549442081","I supported Harris in the debate, and we talked about how Taylor swift endorsed harris despite her carbon footprint. I believe in sustainability and rightful consumption."
"22162787616","My opinion on the discussed issue has not changed because I am not easily influenced by others without facts or an explanation."
"22893191951","I have the same opinion as before
"
"493460346","I still hold my ground with the same opinions. I think it was a well-worded conversation, but in the end I don't think either of us will budge on our stances."
"22916108432","I discussed that the moderators were extremely biased and asked terrible questions, and ganged up on Trump. I also discussed that neither candidate performed well enough to change the outcome of the election. "
"22814290852","I appreciate that I can have a civil conversation with peers that does not result in attacking the other candidate."
"704289048","I have the same opinions as I did before the conversation. I strongly believe in the issue discussed. I can understand where he was coming from with his arguments but some things were not very factual. "
"22598435407","I do not like talking with Liberals because they simple do not listen. It is annoying they always think they are right and can not listen to another opinion. They also have celebrities telling them to vote the wrong way."
"22844854900","My opinion is exactly the same. In fact, I had forgotten of that conversation until it was brought up in this survey. So the conversation did not have a big impact on my life."
"22740923844","My opinion has not changed. This was simply sharing of opinions, and nothing put forth convinced me to change my opinion."
"306290709","I believe the borders should be secure and regulated much better than they are currently."
"22989616210","We discussed many things such as climate change and Kamala Harris. I did and still do beleive climate change is a big issue and it is one of the few topics I am more on the liberal side of so it was easy to find common ground. We also discussed Kamala as I argued that many of her policies are just words as she has had opportunities as VP to get some of these objectives completed. My counterpart argued thats not how it works. "
"22764629085","My opinion on the issue did not change, but I do understand why someone would think differently than me. "
"22952095922","The influence of political propaganda is not only targeted towards one specific audience or political faction, but to influence everyone of all ideological thought processes. "
"22801230299","My views haven't really changed. Excluding extremist approaches, I can confidently say I would vote for whichever candidate best represents my beliefs."
"445512198","I went in to the conversation open to learning about my friend's perspective. I wanted to know why they were adamant in their position, when I felt so strongly about my own. After the issue was discussed however, I can understand why some people feel safer by having access to guns. This doesn't change my opinion or feeling that guns are more likely to cause more trouble than good. But I am more open to the idea that some people could responsibly and safely have guns in their home."
"22209131266","My opinion has stayed the same after my conversation. I think Kamala Harris is the right candidate for president, mostly because the alternative option is to have Donald Trump become president again. I believe that people who vote for Trump are usually misinformed, led by propaganda. Trump voters refuse to recognize the damage caused by his presidency, and refuse to see how our country was viewed by other countries with Trump elected as our leader. "
"857341042","Regarding abortion, my opinion has not changed significantly enough for a complete turnaround in my stance of being Pro-Choice. Although my discussion with OJ was meaningful in that I was able to accept the reasoning behind a differing viewpoint, I still am convinced not to abandon the logic behind my position. Yes, OJ and I came to the agreement that under special circumstances an abortion was necessary, but I still feel that families should have the liberty and right to decide if an abortion is best for their situation. "
"22394715874","I still stand very much liberal and think trump is a nincompoop.  "
"22540545880","I still believe in what I did that all women should have the right to decide. Because when a child is born and that woman is unable to take care of the child it goes into foster care which is already a huge mess. Rather than put a child through all that why not let the woman decide when she wants to have a child and if she does at all. Not only that women who are forced to carry children of their assaulters and rapist it is a traumatic event. Other women also undergo complications with their pregnancy that can put their and the child's life at risk."
"22117041166","My opinion is unchanged. After reading the more extreme position of the person who's opinion I responded to, however, I definitely appreciate the civility and perspective of the person I talked to."
"22888969148","I still stick to my opinion of Donald Trump and will not be swayed, even if he has a few points that I agree with."
"22537419710","I still slightly support Trump. I am not influenced by that student because what he said is too subjective."
"22061335859","That both sides are searching for a more professional candidate to lead our country and not just someone who can out pay others to get to their current position. "
"22100122644","I still don't think I'll side with either or since they both don't seem fit enough for me, but if I absolutely had to side with someone I will with Trump. This is now my opinion because I see that every person who is voting for Kamala is so misinformed and just wants to vote for her because they hate Trump because he says contriversal things. Regardless of what he says, he's actions are more important, and he did good in his past presidency. Kamala didn't do much in her vice presidency so I don't support her.  "
"22856275459","My opinion didn't change at all. I still think that gun are like alcohol, If you ban them then the people that really care to have them (the people using them for wrong) will just be sneaky and get them anyways. "
"22700963093","My opinion still stands on the issue we discussed. I tried to hear the other person out and look at the stance from their perspective. But, they were very stubborn and would not hear me out. This made me lose respect for the other person and not take them as seriously. "
"27315583011",""
"22197390322","My opinions did not change after we had this discussion. Part of this is probably because of the check-in we did at the beginning. We understood that we were trying to get the other one to switch, just to try and understand each other better. "
"22515872515","I believe that the people I talked to are slightly brain washed and make everything Trump says sound amazing, and they hate liberals. I know they feel like that and they are afraid to speak about it because they don't know how to back up their logic."
"22384118271","I feel roughly the same. There has not been a big swing in either direction for my opinions. "
"558467284","I think i'm right "
"22344240674","I think both candidates for the presidency are bad and that the only somewhat good one dropped out to indorse Trump."
"22337115974","My opinion remains the same, but I understand where the other side comes from. They didn't realize the impacts and alternatives to abortion, as well as the importance of sexual education. I now know that many people who are strongly opinionated on abortion may not realize that it is not as simple as pro-life or pro-choice."
"22581441132","My opinion is still the same, it was about the Texas border and illegal immigration, it needs to be taken care of with any force necessary. US Citizens should be the only priority for the US."
"22169395352","My stance has not changed as I still support not only a woman's right to choose but that the government should not get in the way of conversations between the pregnant person and their doctor."
"22071506930","Honestly I still need to look into what is correct, as the topic is grounded in facts. "
"22993864500","My opinion is unchanged, but I can understand the personal experiences that may shape other people’s opinions and understandings. "
"22351496099","I am still pro-choice"
"22324331913","my opinions are the same"
"22131016557","My opinions on the issue we discussed have not changed. My mind is generally made up by facts and logically thinking through something, and the other side of this issue is much more influenced by emotions. There's nothing wrong with being an empathetic person, but that's much less likely to get me to change my opinions."
"22057336071","I think we need immigration and should make it slightly easier for people to come into our country so they don't feel the need to be illegals. Although we should have stronger laws on what happens if contraband is brought in though. "
"22239151109","We discussed the issue of the two-party political system in the US. I believe that it's flawed, yes, but it does a reasonable job of representing the will of the people, as opposed to multiple smaller political parties, which necessarily represent the will of a smaller percentage of the people."
"22292178670","My opinion was simply that we have to look at the pros and cons of what the candidates will do for the country, not how they act."
"26565242338","I still think I am lightly a moderate but I am able to see the other side."
"418266651","My opinion now has not varied that much, like I mentioned in my previous answer. I believe that we both had points where we both lacked knowledge in regards to certain policies, or couldn't specifically point to a legislative procedure/fact to prove our claims."
"22687671061","My opinion has not changed. People should have the right to love who they want and have control over their own body. There is no reason for these things to even be up for debate. "
"22875404432","My stance on the issue largely remained unchanged. We discussed priority of what matters. In a triage scenario who matters more. In a matter of convenience what is more important. What type of priority to unborn children/fetuses have. My stance on that is that they almost get alive priority and do get human rights. The only real change in my position is establishing that they get slightly lower priority."
"22261020754",""
"22804631641","I didn't discuss "
"22736426194","My father was frustrated by the debate and felt as if it was biased and became very scared of the future of America is Kamala won. He was frustrated with the fact  he felt like all the information was bias and fox was the only reliable source. I tried telling him that is not the case and he too is biased and he just countered saying that fox has people with other views on the show."
"22767534672","I don't think my opinion changed much. I understand how I feel about political candidates based on what they are for and who they will fight for, not if I enjoy them as a person. I understand the difference, and am willing to accept that someone I like isn't the best to be running the country. I thought Raegan was funny and a likable man, though I would never vote for him had I been around during the time."
"943143012","Following the conversation regarding Donald Trump and his presidential campaign, I remain in support of Donald Trump being our next President. I feel as though Kamala Harris has not provided much evidence of a plan moving into a potential Presidency, causing concern over policy and the future of the nation. "
"22104933708",""
"22154465111","Same opinion as I had before. "
"22385722412","They could recognize that political issues are often more complex than they initially thought, with many factors influencing different perspectives.

Appreciate Different Values: Understanding that opposing views often stem from different values or priorities can help foster empathy and a more nuanced understanding of the issue."
"22782389888","I feel like his reasonings made a lot of sense to me. I was against the Trump thing again but when I truly looked at the reasoning I understand"
"22990759275","I don't have an opinion on it. It happened. President Trump could've performed better. "
"22367993676","I still consider myself left winged liberal. I will never change this. I refuse to support political parties that are determined to move backwards. "
"22480000642","I still believe that Trump is a poor choice for president given his interests in working for America's upper class and how his moral code is disagreeable to me. 
But now, I do kind of understand why some people might feel a sense of apathy regarding the presidential election. Like, both candidates are clearly, clearly imperfect; what's the point in choosing one over the other? Of course, it depends on your perspective. Still, looking closely myself, I have found that voting for Trump may lead to more unfavorable outcomes for federal law compared to Kamala, which is why I still prefer Kamala."
"22907655020","It remains the same. My dad was the easiest person to initiate a conversation with as I usually do not engage in political conversations if I do not have to. I just mentioned to him that it was for a survey and he acknowledged that fact but ultimately dismissed having a conversation at all which is what I knew would happen."
"22103727651","I feel that our borders should be tougher to get through but there should be a way for refugees and asylum seekers to come to American "
"22604688693","My opinion is still the same. I still feel that being neutral is bad. Showing support for a cause publically or on social media may not directly impact those who need help, but it spreads the message to more people. It creates discourse. In a general sense, even if someones opinion on a topic differs to mine, if we are talking about it, it means we care and it means that topic is recieving attention."
"22186540486","I believe that people are being influenced by social media and not looking into policies. They are focusing on bashing the person running verse what they plan to do for our country. "
"22194885034","My opinion of the situation is still the same. Kamala is more fit to be president at this point in time as she is younger than both Biden and Trump.  She also has a law background which is useful in terms of preparing speeches and deliberations of topics. Kamala also recently admitted to being a gun owner which I believe could be a turning point for some Republicans."
"22635775056","Abortion should be illegal because it infringes on infants' right to live."
"22429459795","I have the same opinion"
"22181174692","My opinion on the issue discussed is there is not enough gun regulations put in place to prevent the shootings that take place. And we need someone who will enforce these laws when they become president in order to stop the disasters from occuring. "
"937352888","I still feel the same way I do about gun control, however I also understand my friend`s own concerns. I also hope that even if her mind wasn`t changed, she at least has learned more about firearms so she can be more informed and better present her own arguments. "
"286482360","I still think that people who have their mind set, don't want to change. Nothing from this has changed my mind because it doesn't seem like anyone else is open to listening and thinking about other opinions before they say anything. Politics ruin a country and turn people against each other."
"22141778402","I am very saddened by the hate that many people express towards the LGBTQ and immigrants. Their hate is entirely unwarranted, and there is nothing we can do to change their mind. All that's left, is to hope Trump does not insight a civil war when he inevitably loses."
"22544167709","it is always good to hear about other opinions, and I can see some reasoning from the other side, but does not change much of my opinion"
"22597828633","I mean, the topics we discussed were relevant to the debate. I have a conservative perspective on these issues. I lean more pro-life. I think abortion should still be legal, safe, and rare. In cases of rape, incest, other assault, to save the mothers life, etc., abortion should be legal in every state. People should not be getting abortions after the 1st trimester, even after the heartbeat of the fetus. Late-term abortions don't make sense to me. You knew you were pregnant for several months and at the end of the pregnancy, when you could give the child up for adoption, you choose to abort? Most late-term abortions aren't to save the mothers' life, but for convenience, and I think that is wrong. 
I am completely against illegal immigration. We can't let people into our country that we don't know anything about. It's a national security issue. They could bring crime, violence, terrorism, drugs with them. We have a legal process to enter the country. Follow the rules."
"22522140779","I am middle-of-the road when it comes to politics. I disagree with extremists on both sides of the policital spectrum, and I probably won't vote this year. No political issue should cause a person to get upset or to lose sleep like some folks I know. Just enjoy life; the world will keep spinning."
"22073405075","We talked about the US response to 9/11 and the continued wars that have killed many more people than died in 9/11. My opinion now is the same as it was, that the US response to 9/11 was horrific."
"22416086665","I even dislike their potilical view even more now after hearing their arguments. "
"22633713775","In my own words, my opinion now of the issue I discussed is that it feels really negative and powerful because the student uses intense words to describe Donald Trump. "
"22884938542","How the candidates performed during the debate - I thought Trump failed terribly through his rambling and incoherency. While Kamala stood her ground and attempted to connect with the American people"
"22970886105","I still have my own political beliefs around climate change, and our conversation didn't affect how I viewed the issue."
"25523540013","My opinion stays the same, he did end up blocking me over the conversation, so I'm not too worried about what he thought."
"985890423","In my opinion, I think that person has no knowledge of politics. I also believe there is not one country that is perfect, so to say it's best to move is foolish because it is going to be a problem no matter what country you are in. "
"22650690776","I still believe in a strong border. As Donald Trump said a few nights ago: ""A strong country has good borders and good elections."" The border issue affects the rest of the issues at hand. It is hurting our economy by illegal immigrants taking jobs and government funding. It is causing safety issues where illegal immigrants are killing and raping innocent citizens. It's also hurting the drug problem in America where people are dying because of the illegal drugs being sent through the border. It is still a major issue that needs to be fixed, or our country will have some major problems."
"22179627638","I am still very strongly on the left when it comes to politics. The guy I talked to seemed very uninformed and presented not very smart arguments. "
"22123277758","Reflecting on our conversation about government spending and economic policy, my opinion remains inclined towards fiscal conservatism, but I've gained a deeper understanding of the contrasting viewpoint. The discussion illuminated the genuine concerns and priorities that drive the advocacy for increased government spending, especially regarding the potential positive impacts on social programs and the welfare of the less fortunate. While I still prioritize fiscal responsibility to avoid excessive national debt and economic instability, I now see more clearly the moral and social imperatives that my counterpart was championing. This has led me to consider the balance between prudent financial management and necessary investment in social infrastructure more thoughtfully. Although my fundamental stance hasn’t shifted, the conversation has encouraged me to think about how policies can be designed to achieve fiscal health while also addressing critical social needs."
"655423846","I believe in women's rights."
"22893689057",""
"22329203195","I wish not to disclose my opinion on racial tension, other than to say that it did not change."
"29778588975","n/a"
"676474832","We didn't necessarily discuss an issue, as she was not as open as I wanted her to be. I can say that I definitely sense the fear of rejection she has when discussing her conservative beliefs, as she internally knows society would deem some of the actions she supports as wrong. "
"22984829259","They just spoke about how they are voting for Trump because he is a guru when it comes to the economy but there are other factors that come into play not just who gets into office. "
"22321255898","I completely agree with what I said. I don't believe whatever I said was false and that people who oppose aren't informed as much"
"22378004066","My opinions have not changed because I do not believe in pro life because there are situations in which it is necessary."
"22938793202","My opinion on the issue hasn't changed, but I respect my friend's opinion. I also think that if someone has committed heinous crimes, not just once but multiple times throughout their life and shows no remorse for their actions, capital punishment is actually the kindest solution for everyone, themselves included - life in prison is a worse punishment. I would agree with her if I believed that there was a foolproof way to determine that kind of guilt."
"374831032","I still don't support Project 2025 and I still believe Trump is just as illiterate as he is slow. "
"22315417298","LGBT rights should be a thing. Literally why not? Why deny rights to people?"
"22118538434","My opinion/position is still the same. I am pro-life. The conversation did not sway my stance at all. "
"947704212","My opinion hasn't changed. As someone who would describe myself as socially conservative, I feel we constantly and disproportionately live in fear of expressing our beliefs. I believe there are two genders, and that it's odd gender dysphoria is the only mental illness that's encouraged instead of cured. However, I've never been able to publicly express myself because of the vitriol and intolerance of left-wingers."
"22621074198","I don't think that my stance has changed based on this topic. I still believe that there are two genders and that women and men should be separated on things like sports, public restrooms, and in prison. The reason behind this is mainly for safety. I think that Emily has a right to her own view points and I think based on her background and community around her, she is very smart. Listening to her helped me understand her better as a person but it didn't change my beliefs"
